RH	TEMP	WINDSPEED	ELAPSEDTIME 
%	degC	cm/s	ms     
0.0000  13.00  842.117187  18383.00
0.0000  13.00  751.546875  18494.00
0.0000  14.00  842.117187  18604.00
0.0000  14.00  764.457031  18714.00
0.0000  14.00  842.117187  18825.00
0.0000  14.00  764.457031  18934.00
0.0000  14.00  842.117187  19045.00
0.0000  14.00  842.117187  19154.00
0.0000  14.00  842.117187  19265.00
0.0000  14.00  842.117187  19375.00
0.0000  14.00  842.117187  19485.00
0.0000  14.00  881.078125  19595.00
0.0000  14.00  495.320312  19705.00
0.0000  14.00  842.117187  19815.00
0.0000  14.00  764.457031  19926.00
0.0000  14.00  881.078125  20036.00
0.0000  14.00  444.523437  20146.00
0.0000  14.00  842.117187  20256.00
0.0000  14.00  894.085937  20366.00
0.0000  14.00  881.078125  20476.00
0.0000  14.00  881.078125  20586.00
0.0000  14.00  894.085937  20697.00
0.0000  14.00  894.085937  20806.00
0.0000  14.00  816.191406  20917.00
0.0000  14.00  894.085937  21026.00
0.0000  14.00  855.093750  21137.00
0.0000  14.00  933.160156  21246.00
0.0000  14.00  855.093750  21357.00
0.0000  14.00  946.203125  21467.00
0.0000  14.00  855.093750  21577.00
0.0000  14.00  881.078125  21687.00
0.0000  14.00  855.093750  21797.00
0.0000  14.00  933.160156  21907.00
0.0000  14.00  816.191406  22018.00
0.0000  14.00  881.078125  22128.00
0.0000  14.00  803.242187  22238.00
0.0000  14.00  881.078125  22348.00
0.0000  14.00  764.457031  22458.00
0.0000  14.00  842.117187  22568.00
0.0000  14.00  842.117187  22678.00
0.0000  14.00  842.117187  22789.00
0.0000  14.00  842.117187  22898.00
0.0000  14.00  751.546875  23009.00
0.0000  13.00  842.117187  23118.00
0.0000  14.00  764.457031  23229.00
0.0000  14.00  842.117187  23340.00
0.0000  13.00  803.242187  23449.00
0.0000  14.00  881.078125  23560.00
0.0000  13.00  829.148437  23669.00
0.0000  13.00  559.023437  23780.00
0.0000  13.00  829.148437  23889.00
0.0000  14.00  764.457031  24000.00
0.0000  14.00  829.148437  24110.00
0.0000  13.00  764.457031  24220.00
0.0000  14.00  842.117187  24331.00
0.0000  14.00  764.457031  24440.00
0.0000  14.00  881.078125  24551.00
0.0000  13.00  842.117187  24660.00
0.0000  13.00  894.085937  24771.00
0.0000  13.00  894.085937  24881.00
0.0000  13.00  881.078125  24991.00
0.0000  14.00  881.078125  25101.00
0.0000  15.00  816.191406  25211.00
0.0000  14.00  881.078125  25321.00
0.0000  14.00  816.191406  25432.00
0.0000  14.00  894.085937  25541.00
0.0000  15.00  803.242187  25652.00
0.0000  13.00  881.078125  25761.00
0.0000  13.00  751.546875  25872.00
0.0000  14.00  842.117187  25982.00
0.0000  14.00  764.457031  26092.00
0.0000  14.00  842.117187  26203.00
0.0000  14.00  803.242187  26312.00
0.0000  14.00  842.117187  26423.00
0.0000  14.00  855.093750  26532.00
0.0000  13.00  571.792968  26643.00
0.0000  14.00  894.085937  26753.00
0.0000  13.00  764.457031  26863.00
0.0000  13.00  881.078125  26973.00
0.0000  13.00  803.242187  27083.00
0.0000  13.00  881.078125  27193.00
0.0000  13.00  803.242187  27303.00
0.0000  14.00  881.078125  27414.00
0.0000  14.00  764.457031  27524.00
0.0000  13.00  842.117187  27634.00
0.0000  13.00  842.117187  27744.00
0.0000  13.00  842.117187  27854.00
0.0000  13.00  855.093750  27964.00
0.0000  13.00  764.457031  28075.00
0.0000  13.00  855.093750  28184.00
0.0000  14.00  725.753906  28295.00
0.0000  14.00  842.117187  28405.00
0.0000  13.00  725.753906  28515.00
0.0000  14.00  803.242187  28625.00
